month_number,price1,price1noadj,security_id,ticker
480,10.28,10.28,63096,GILAX
480,10.54,10.54,64843,GIMAX
480,10.39,10.39,79350,GIMCX
480,11.65,11.65,59801,GIPAX
480,11.65,11.65,59802,GIPCX
480,11.65,11.65,59804,GIPIX
480,11.78,11.78,59803,GIPSX
480,14.34,14.34,65117,GIRRX
480,24.48,24.48,59275,GITAX
480,18.92,18.92,59276,GITCX
480,27.79,27.79,59277,GITIX
480,23.82,23.82,59278,GITSX
480,8.05,8.05,62146,GIXIX
480,28.78,28.78,60001,GLCCX
480,32.69,32.69,59998,GLCGX
480,15.34,15.34,67524,GLDAX
480,14,14,67525,GLDCX
480,13.41,13.41,54884,GLDYX
480,13.42,13.42,54883,GLDZX
480,13.37,13.37,61026,GLLAX
480,12.44,12.44,61027,GLLCX
480,14.94,14.94,64340,GLOSX
480,21.27,21.27,75283,GLRBX
480,7.01,7.01,79240,GLSRX
480,12.51,12.51,53983,GMAAX
480,12.21,12.21,53984,GMACX
480,12.52,12.52,53986,GMAIX
480,9.71,9.71,55498,GMARX
480,10.62,10.62,78371,GMBAX
480,0,0,53469,GMBXX
480,14.2,14.2,68703,GMCCX
480,27.86,27.86,64150,GMCDX
480,22.05,22.05,76659,GMCFX
480,9.635,9.635,63451,GMCOX
480,14.04,14.04,65060,GMCQX
480,27.82,27.82,64151,GMDFX
480,9.79,9.79,79305,GMDIX
480,9.53,9.53,79304,GMDRX
480,15.24,15.24,71539,GMDYX
480,15.24,15.24,71538,GMDZX
480,26.92,26.92,67642,GMGEX
480,10.04,10.04,55499,GMIAX
480,21.8,21.8,76658,GMICX
480,10.27,10.27,78784,GMIMX
480,0,0,76443,GMIXX
480,20.197,20.197,69630,GMLGX
480,13.493,13.493,57820,GMLVX
480,14.11,14.11,66055,GMMAX
480,13.8,13.8,66056,GMMCX
480,10.15,10.15,78783,GMMRX
480,0,0,53468,GMMXX
480,33.85,33.85,71971,GMOEX
480,22.09,22.09,76657,GMOIX
480,10.22,10.22,59632,GMRAX
480,9.41,9.41,59634,GMRCX
480,10.53,10.53,59633,GMRIX
480,12.38,12.38,53985,GMRRX
480,15.311,15.311,76705,GMSMX
480,11.483,11.483,73032,GMTEX
480,14.15,14.15,65059,GMUEX
480,33.78,33.78,52791,GMWAX
480,9.432,9.432,62282,GMWEX
480,15.75,15.75,68701,GMXAX
480,16.08,16.08,68702,GMXIX
480,0,0,63939,GMYXX
480,0,0,63938,GMZXX
480,13.26,13.26,61318,GNDCX
480,14.22,14.22,61319,GNDIX
480,0,0,76211,GNMXX
480,31.02,31.02,68951,GNSRX
480,22.79,22.79,58505,GNWRX
480,12.06,12.06,68171,GNYTX
480,0,0,76212,GNYXX
480,13.28,13.28,69554,GOCAX
480,1,1,54906,GOCXX
480,30.01,30.01,69914,GOFCX
480,43.37,43.37,58725,GOGFX
480,29.27,29.27,73411,GOGIX
480,14.19,14.19,73809,GOIAX
480,13.84,13.84,73810,GOICX
480,14.25,14.25,73812,GOIIX
480,29.26,29.26,73412,GOIOX
480,14.16,14.16,73811,GOISX
480,1,1,54903,GOIXX
480,15.32,15.32,67523,GOLDX
480,28.52,28.52,73413,GONBX
480,28.45,28.45,73414,GONCX
480,25.61,25.61,69662,GOPAX
480,24.5,24.5,69663,GOPCX
480,25.85,25.85,69665,GOPIX
480,25.07,25.07,69664,GOPRX
480,25.75,25.75,69666,GOPSX
480,1,1,54905,GORXX
480,1,1,54904,GOSXX
480,1,1,71637,GOTXX
480,54.05,54.05,63501,GPAFX
480,22.67,22.67,59027,GPBFX
480,0,0,65679,GPFXX
480,0,0,73491,GPGXX
480,0,0,77189,GPIXX
480,0,0,62776,GPMXX
480,0,0,57424,GPOXX
480,0,0,69395,GPPXX
480,17.45,17.45,75784,GPSCX
480,0,0,65275,GPTXX
480,0,0,61014,GPVXX
480,25.84,25.84,71733,GQEFX
480,25.79,25.79,71734,GQETX
480,15.66,15.66,78023,GREAX
480,14.87,14.87,78024,GRECX
480,16.23,16.23,78025,GREIX
480,15.79,15.79,78026,GRESX
480,1,1,64545,GRFXX
480,17.96,17.96,64213,GRINX
480,16.5,16.5,62590,GRISX
480,16.38,16.38,62591,GRMAX
480,15.93,15.93,62593,GRMCX
480,16.55,16.55,62592,GRMIX
480,16.39,16.39,62589,GRMSX
480,48.33,48.33,69915,GROYX
480,23.35,23.35,58786,GRSPX
480,14.61,14.61,75601,GRZZX
480,23.64,23.64,73825,GSACX
480,26.45,26.45,73823,GSAGX
480,28.26,28.26,73824,GSAIX
480,0,0,64267,GSAMX
480,0,0,64265,GSARX
480,0,0,64266,GSASX
480,23.37,23.37,53725,GSBCX
480,23.79,23.79,53724,GSBFX
480,24.34,24.34,53726,GSBIX
480,0,0,56712,GSBXX
480,24.42,24.42,77208,GSCGX
480,36.45,36.45,68952,GSCIX
480,32.14,32.14,60000,GSCLX
480,0,0,68319,GSCPX
480,0,0,73602,GSCSX
480,16.05,16.05,63157,GSCYX
