month_number,mon_ret,security_id,ticker
479,0.0339064,583,ETHO
479,0.043379400000000005,584,ITEQ
479,0.046275300000000005,585,ONEQ
479,0.0176274,586,FDIS
479,0.011075,588,FENY
479,0.048135199999999996,589,FNCL
479,0.038201900000000004,590,FSMD
479,0.0033484,591,FDEV
479,-0.009753200000000002,592,FDEM
479,0.06091900000000001,593,FHLC
479,0.0075187,594,FDHY
479,0.044300400000000004,595,FIDU
479,0.0435518,598,FVAL
479,0.0330349,599,FQAL
479,0.0568576,600,FTEC
479,0.033105,601,FDMO
479,0.0263866,602,FDLO
479,0.0358334,603,FDRR
479,0.0258805,604,FDVV
479,-0.012770700000000001,605,FREL
479,0.0333399,608,FMAT
479,-0.0002456,609,FCOR
479,-0.0002372,610,FLTB
479,-0.0001359,611,FBND
479,0.037600699999999994,616,FPX
479,0.0396276,617,FDM
479,0.026922,618,FNI
479,0.0366673,619,EDOW
479,0.011446600000000001,620,FIW
479,0.040904199999999995,621,FAB
479,0.0368952,622,FTCS
479,0.13097730000000002,623,FBT
479,0.0296822,624,FDN
479,0.026708799999999998,625,QQXT
479,0.0486619,626,QCLN
479,0.0409524,627,DWPP
479,0.015462299999999998,628,FCTR
479,0.033209300000000004,629,FAD
479,-0.0159316,631,FRI
479,-0.025887599999999997,632,FCG
479,0.0384534,633,FEX
479,0.0287769,634,FXD
479,0.028187900000000002,635,FXG
479,-0.024441900000000003,636,FXN
479,0.0406885,637,FXO
479,0.08373860000000001,638,FXH
479,0.045316699999999994,639,FXR
479,0.047568599999999996,640,FXZ
479,0.0640062,641,FXL
479,-0.0260488,642,FXU
479,0.061913199999999995,643,SKYY
479,0.0163243,644,FGD
479,-0.0044641,645,CARZ
479,0.0679644,646,FDNI
479,0.0654304,648,CIBR
479,0.0242936,649,FPXI
479,0.0333906,650,FYX
479,0.015981799999999997,651,FVD
479,0.0357877,652,FNX
479,0.0105482,653,FVL
479,0.049503,654,FTA
479,0.0258302,655,FTC
479,-0.0022388,656,FDD
479,0.0330364,657,FAN
479,0.0109566,658,FLM
479,-0.013910399999999998,659,FFR
479,0.030695599999999996,660,QABA
479,0.026589599999999994,661,GRID
479,-0.014170600000000002,662,FTAG
479,0.0044981000000000005,663,FPA
479,0.018950799999999997,664,FEP
479,-0.01403,665,FLN
479,-0.0055628,667,FCA
479,0.0346815,672,FGM
479,0.0420824,673,FCAN
479,0.0431931,674,FAUS
479,0.044051099999999996,675,FKU
479,0.021674799999999998,676,FSZ
479,0.0250919,677,FHK
479,-0.011001299999999999,678,NFTY
479,0.0161793,679,FEMS
479,0.0227447,681,FEUZ
479,0.014137700000000001,682,NXTG
479,0.050445800000000006,683,FNY
479,0.0317222,684,FNK
479,0.029214799999999996,685,FYC
479,0.035755699999999994,686,FYT
479,0.0233495,687,FMK
479,-0.0108781,688,EMLP
479,0.0109363,689,FTSL
479,0.0124052,690,HYLS
479,0.0018161999999999998,691,LGOV
479,0.0004641,692,MDIV
479,0.028280200000000002,693,TDIV
479,-0.0141668,694,FID
479,0.006930199999999999,695,FTHI
479,0.0019057000000000002,696,FTLB
479,0.0455886,697,RDVY
479,0.0319184,698,FV
479,0.0296882,699,AIRR
479,0.0330758,700,DALI
479,0.0475909,701,ROBT
479,0.0490834,702,RNDV
479,0.0166201,703,RNSC
479,0.031111200000000002,704,RNMC
479,0.037735199999999997,705,RNLC
479,-0.020428599999999998,706,RNEM
479,0.014024799999999999,707,RNDM
479,0.005338,709,DDIV
479,0.0324876,710,FTXL
479,0.035038599999999996,711,FTXD
479,0.0785245,712,FTXH
479,0.008957099999999999,713,FTXN
479,0.0151204,714,FTXG
479,0.0510712,715,FTXO
479,0.0046479,718,FPE
479,-0.0051683,719,FMF
479,-0.014380700000000001,720,FTGC
479,0.0024392,721,FMB
479,0.0143886,722,FTLS
479,0.0082251,727,RFEM
479,0.0207675,728,RFEU
479,0.0009152999999999999,729,FSMB
479,0.0066529,730,FPEI
479,0.0026385000000000002,731,FCAL
479,-0.002191,732,HDMV
479,0.0051381,733,HUSV
479,0.0012565,734,FTSM
479,0.003861,735,LMBS
479,0.00028730000000000004,736,FDIV
479,0.034852999999999995,737,FCVT
479,0.019634400000000003,739,FCEF
479,0.0090472,740,MCEF
479,0.0383245,741,ERM
479,0.038095699999999996,742,TERM
479,0.0026683,743,FIXD
479,-0.0020976,745,UCON
479,-0.0004971999999999999,746,FUMB
479,-0.013319399999999999,747,FAAR
479,-0.0217495,748,DVOL
479,0.0431679,749,DVLU
479,0.0279721,750,SDVY
479,0.0253322,751,LEGR
479,0.0388152,752,TILT
479,0.0021066999999999995,753,TLTE
479,0.0146549,754,GUNR
479,0.0013722,755,TDTT
479,0.00041600000000000003,756,TDTF
479,0.0009437000000000001,757,HYGV
479,-0.0004516,758,BNDC
479,0.0282353,759,ESGG
479,0.037129300000000004,760,ESG
